#ess=71.4394218784 nsamp=357
#post like m1 m2 tRef dist phase inc lambda beta pol 
-67.1121106332 -7.96140480286 1501329.51273 499913.110788 -430.357908257 36918.6190494 5.35080036106 2.11551889976 3.60723799829 -0.437438277361 1.22016679113 
-66.5662748935 -7.45439213107 1499886.17886 500187.810701 -450.304625679 37239.8781408 4.52968322805 2.06628469261 3.51983648956 -0.414959572382 1.12603954769 
-64.259826197 -4.22403511929 1502193.53197 499192.090848 -11.2508030273 37294.6315371 5.24536496299 1.01704194579 4.79237648517 -1.18578767219 0.124480643996 
-66.2940768837 -6.26637892507 1500136.57714 499781.268303 -36.6972647798 38513.0701851 4.02003652024 0.912263612729 4.65868848961 -1.15151454898 0.148280276262 
-64.1012868758 -4.99765267246 1498424.37062 500601.728742 -432.073516835 36045.9197932 2.08251934146 2.06543573516 3.62913984084 -0.397186117449 1.25175650044 
-64.1643110505 -5.03150276921 1497850.60668 501010.827974 -439.08190758 37254.4851425 3.40070463573 2.09403660528 3.56747215607 -0.426443412034 2.74238745985 
-63.6715098028 -4.49908380955 1498568.73622 500791.795798 -426.446245537 37155.2283483 2.35324524992 2.13675170153 3.60482202392 -0.455465134944 1.21513456386 
-65.8365060459 -5.70827117143 1498979.02136 500328.309198 -5.92298461556 36805.8266972 3.9588197937 1.05130180154 4.82990290138 -1.22861738782 1.74186721369 
-62.9237041199 -2.98928091477 1499283.64082 500349.890489 -0.0198988500527 36790.4073447 5.69473542174 1.04498726808 4.8392561979 -1.14956239605 0.00657345200064 
-63.4828414289 -3.63469508255 1499861.76902 500108.928455 6.58459512764 35820.9875408 4.39101917475 1.0696168999 4.85981359467 -1.11571011204 1.51246887998 
-61.2808991611 -1.40961336542 1500562.06603 499784.22136 2.22348613485 36203.0383485 4.20084004971 1.05718805465 4.84319427911 -1.12366043793 1.53507564005 
-63.785711726 -4.60728219233 1501323.77869 499759.741638 -431.952917059 37480.4524953 5.3341280147 2.1399961053 3.57166657372 -0.463871053121 1.14897797684 
-63.7455216598 -3.64321940637 1500862.38176 499741.089736 -11.8666072581 37276.2588508 3.68649893936 1.02172782361 4.79344989562 -1.21273032406 1.75473906765 
-65.8036188149 -6.67980368121 1499041.96371 500320.14684 -431.092508657 36293.7544176 2.13801423776 2.08622313577 3.61798859272 -0.417665015543 1.23813718217 
-64.3791923312 -5.23714153294 1498960.39902 500530.444448 -438.290925614 37200.984721 0.313921477381 2.10019900817 3.55974688322 -0.439171712009 2.72616329172 
-65.2159042422 -5.24178894644 1500725.02561 499661.014475 -5.96840364751 36855.5596463 5.44816151996 1.03448791473 4.81421945698 -1.16446588085 0.0600910680373 
-70.6710969709 -8.04538425221 1498154.1426 500598.035267 -70.2034498622 54127.3776552 0.363562452534 0.0600679177829 4.48626487502 -1.1600699036 1.31465034458 
-62.874489904 -2.81888194312 1498854.25233 500294.856763 -16.0217129399 37602.7546744 3.46817181328 1.0005754413 4.76404937011 -1.18960255456 1.73853014697 
-67.4461734374 -7.34581374121 1500601.78184 499744.587582 -3.67377067788 37364.2167984 4.05662610007 1.04102632718 4.84393688029 -1.21636871218 1.70635482971 
-62.3219280527 -2.2807433072 1499132.10419 500303.89947 -25.0749558592 37927.7644006 3.04005399099 0.9681715676 4.71676542752 -1.17480084747 1.74697004461 
-61.7904569583 -1.89964380593 1499232.3571 500289.812516 10.2252631745 36632.0260611 3.00389333149 1.06676620518 4.88362676605 -1.13534854035 3.09437707089 
-72.4504452136 -11.7547321119 1500786.59758 499527.584635 -72.6489579031 49127.4497687 3.22882977952 0.426271262626 4.47665335584 -1.16012075498 1.15002018908 
-62.6452597221 -3.51923194237 1499323.93297 500378.917323 -441.836093171 37219.7249475 0.150477055949 2.0860115129 3.55877534678 -0.422204729303 2.73944304555 
-63.8690124764 -3.94067986414 1499037.30699 500499.297053 -15.0627520324 36700.3079609 0.279154400139 1.01040309988 4.76287761093 -1.13721759536 1.61241774309 
-64.2557006291 -4.13399286685 1500269.65047 500030.283809 -4.8711165259 37096.2880284 4.00865243254 1.04424096922 4.83792021926 -1.22472425243 1.72632625509 
-63.4506024176 -4.22362729476 1498967.99167 500662.43083 -427.147281243 37821.1795112 0.895027546096 2.18116881779 3.5491883466 -0.5033734552 2.62895807596 
-65.7143426285 -5.62276338716 1502339.31693 499189.375919 -1.26162851972 37047.0534241 4.15578167807 1.05208358827 4.85625765252 -1.21546727502 1.69144441931 
-65.9796788954 -5.87336668908 1497964.51595 500679.497876 -34.5305923308 38731.4620109 2.66155601594 0.926519447198 4.66433892295 -1.18921682926 1.85563365415 
-66.1127591172 -6.21886616107 1498600.16522 500242.668245 -25.3824605228 36107.4832649 1.32843336063 0.994123063638 4.71301320681 -1.11627170308 0.0181754435398 
-67.7078814576 -7.68462609407 1500152.97791 499994.192384 -44.0778042056 38438.2327441 0.513670564528 0.889814641973 4.62480275567 -1.1412772135 0.137483561866 
-61.5095310895 -1.50924635085 1499975.14296 500079.378289 0.711084169674 37110.0893314 1.0561209825 1.04646837665 4.85272424228 -1.17833281824 1.6232359228 
-65.82608183 -5.72194076248 1499821.0044 499978.507321 -21.6533040581 37402.6228873 3.25874918992 0.997594194675 4.73819743495 -1.20778701649 1.8101452412 
-67.0356580504 -7.02258758526 1502312.06426 499060.339643 -10.0585932859 37229.4173684 5.29837902317 1.02021781776 4.79829657577 -1.17734749876 0.11062482765 
-67.6927286664 -8.5446911949 1497867.14666 501060.398725 -438.460088026 37447.1550093 1.87365178882 2.10770432013 3.55405922465 -0.441778344871 1.14763389987 
-66.1591224421 -6.17238460074 1498183.42375 500600.075761 -37.9052887752 37683.7465912 2.33920635251 0.92629677068 4.6528864459 -1.13762505403 1.66177120437 
-67.5093964271 -8.38597833458 1500594.41194 499991.950445 -425.136082431 35700.644667 0.806335245612 2.08457165549 3.64481384003 -0.418020493467 2.84698019361 
-65.6251095912 -5.46944315964 1500012.70386 499819.41858 -43.981525151 38877.1840851 2.29335166711 0.902027014881 4.61207443689 -1.20137032374 1.9680278737 
-65.2654088653 -5.31817174947 1499668.46174 499876.714758 -4.35700847433 36889.0690786 3.93312159937 1.03329584372 4.81846172312 -1.15251991257 1.6028667756 
-66.8560793592 -6.93237156444 1498087.61554 500689.471033 -10.1004352555 36558.9867837 5.22449653588 1.02328700406 4.78602824937 -1.13887995823 0.0360733923618 
-62.9035685561 -2.80857520702 1501405.90763 499467.557634 -0.0893638977476 37066.8750074 4.21380394282 1.0537565466 4.86445410076 -1.21710763349 1.68756190495 
-62.0081822104 -2.11867541494 1499177.48211 500281.890118 9.56858262926 36463.5617912 2.97630162206 1.06847135145 4.88118543461 -1.13520180387 3.0950551072 
-68.75476623 -8.83299013856 1498260.07992 500531.941775 -17.1723562048 36556.6257884 0.167467926994 1.00315459722 4.75108945805 -1.13223705795 1.60925168038 
-64.9918904284 -4.92242007807 1500999.16459 499771.355989 -1.98094257589 37088.9451881 4.11139633087 1.04850212013 4.84828731434 -1.206272586 1.68068938048 
-64.4782850816 -4.38771840907 1498489.86966 500536.168511 0.848735957605 37150.6342316 4.24960327334 1.05567046107 4.86651709155 -1.21580024449 1.68306885601 
-66.0787684716 -5.97515079449 1499055.88366 500302.216494 -17.547858885 37304.5249836 1.86673084841 1.00866849576 4.7583851856 -1.21020973564 0.223472414982 
-70.8313341691 -11.6767930191 1503795.64469 498867.943004 -424.976765779 36352.1420799 3.99552395319 2.11867929718 3.6290021511 -0.442463127523 2.82731571311 
-62.4681632193 -2.59077984595 1501389.16347 499537.768197 2.7667212077 36161.5673351 4.23529314659 1.0590788774 4.84763492066 -1.12705220068 1.54139701216 
