#ess=288.209884105 nsamp=1441
#post like m1 m2 tRef dist phase inc lambda beta pol 
-64.2712975933 -4.35677720245 1499082.02426 500177.783447 -41.0534356363 36100.0777304 3.71033958475 0.952150252716 4.64220115763 -1.1122731494 0.0245395588464 
-63.5890007509 -3.47078392864 1499299.96625 500111.209189 -8.12214472458 37222.4999907 3.85823601158 1.03454890301 4.81580719248 -1.22157049616 1.74487331607 
-62.3779852144 -2.50394323818 1499581.72584 500053.57746 15.5227176235 36419.820407 0.100881171583 1.08164509726 4.90785094132 -1.13138808382 3.07065869433 
-64.5206069799 -4.37798340234 1499726.73518 500112.866965 -3.5556761145 37198.2821466 0.931573743709 1.0483662006 4.8481698233 -1.2330863992 1.72954790657 
-63.2986712099 -3.45865884644 1500280.60393 499884.322218 9.99583096925 35787.4633047 6.12342966082 1.07844589667 4.87665886347 -1.11415207874 3.07233489599 
-62.6706616009 -2.73439480003 1500572.40074 499839.708992 -13.768730071 36901.198449 5.05898244818 1.01021028567 4.77149925611 -1.14095304536 0.0412441040016 
-63.5249535222 -3.68440531497 1499667.9677 499973.341656 -26.1021072011 34805.1663734 2.84160148685 1.01649349708 4.71042819528 -1.0965788514 1.55092449621 
-65.1764528735 -5.10679804149 1500833.17336 499692.518111 -25.8515954782 38258.8724636 4.6002800315 0.958155623003 4.71345747557 -1.18371545309 0.208932265536 
-62.5266034929 -2.56285654346 1500055.70101 500001.182759 -24.980422708 37347.2243949 1.40216399826 0.97136231475 4.7167418309 -1.1418891255 0.0830573399915 
-63.0004173531 -3.0884373748 1499503.93531 500028.848109 -21.807377934 36353.7447431 4.65511382676 0.998112520229 4.73038471548 -1.12616096486 0.031151562007 
-63.7323854955 -3.73661643162 1500813.63522 499752.484413 -12.293833472 37518.3149882 2.02481478108 1.00561706803 4.78179572308 -1.16604565693 0.0929952150253 
-62.2823159542 -2.33690017031 1499493.58417 500158.034029 -7.78318722897 36751.841529 5.34659139905 1.02988284583 4.80151727325 -1.15059935106 0.0420331761554 
-64.4060008442 -4.37832859578 1499711.86149 500064.447953 8.31708588722 37392.3350567 2.98384516796 1.06019969898 4.89867698433 -1.19269125674 0.0375701810661 
-63.5383971683 -3.58892443799 1499879.69227 500068.761518 -12.8148094359 37074.0433476 3.5463267666 1.00951854865 4.77617305544 -1.14676451888 1.62878140843 
-66.1301643526 -6.98643288901 1499687.39238 500368.632548 -431.88554775 36787.2609643 5.27563815801 2.10487634213 3.59695348605 -0.436539362011 1.20616488229 
-63.6339232374 -3.89870418666 1500310.39358 499865.868923 4.62214875399 33916.1807562 5.82567162864 1.09926516606 4.83822385737 -1.06518533081 3.0214267865 
-63.4676650475 -3.31573565619 1500071.46911 500054.341973 -14.7797688304 36829.991315 5.15518241456 1.03321747958 4.77999370341 -1.23319762529 0.238839160563 
-72.7027867445 -12.4190640732 1501338.07672 499373.407481 -69.1655912076 43703.102808 5.46241705677 0.651500311425 4.50065844877 -1.14720528273 0.0534265278477 
-65.4743296437 -5.38834645203 1498371.62081 500456.200685 -32.4079967497 38311.4882405 5.88007674357 0.942768564605 4.67723420192 -1.18592994 1.82017168395 
-62.6897222506 -2.77904328785 1499247.20412 500299.255843 -19.1998158031 36533.5368851 3.21189750535 1.00221474269 4.74330955381 -1.12661934744 1.59890538375 
-61.5827777978 -1.62704976276 1499775.82145 500038.199985 3.08317563321 36894.6986373 1.14028180123 1.05198637435 4.8588049551 -1.16087110596 1.58606825567 
-64.0894580591 -3.99638337875 1499337.27682 500189.222209 -27.8966124422 38194.1379506 2.95072775616 0.959778746519 4.70181190142 -1.19358655958 1.81033968859 
-65.0814913155 -4.96493212378 1499931.20486 500079.683425 -29.4206943763 37908.5144722 6.06690972836 0.965888630855 4.69385256769 -1.20433328317 1.86712056458 
