#ess=2636.39923833 nsamp=13181
#post like m1 m2 tRef dist phase inc lambda beta pol 
-62.1907562169 -3.72436527934 889243.037674 111065.191342 26.6303480794 39967.1121635 3.42961418777 1.02682744535 2.42512500474 1.16178858468 1.10767235382 
-59.3427623155 -1.11788881858 888972.433508 111098.865928 -2.20056194078 39961.5570159 2.37680308315 1.04984472367 2.36880193305 1.04775107455 2.62680337767 
-66.6388346801 -8.15078720293 888266.947966 111179.014126 6.02155406504 43152.4101266 6.28020886635 1.00139011184 2.62016956944 1.16433638476 2.8324801664 
-66.1844984637 -7.55446028427 888057.296542 111211.338018 52.7710329284 38753.0827702 1.07337372621 1.0180867316 2.39269681485 1.2244492077 2.66472870269 
-58.9570387785 -0.646521232527 888739.362957 111131.316051 -4.29813772129 41834.4747045 0.622599468196 1.02599003387 2.46405422324 1.08712636359 1.12646985187 
-63.3434465504 -5.26674242612 889417.971225 111041.970076 -66.2676408402 45175.2191306 6.04663348058 1.02553724783 2.54402070598 0.942630369148 2.74756280498 
-61.4673054254 -3.3954135532 889196.827016 111070.227416 9.10606017784 36504.2758944 3.35674340047 1.08154924859 2.19548231892 0.961886849033 2.49151544749 
-59.6628102333 -1.57055389592 888979.306417 111105.616119 4.83885052684 37356.3448546 1.41286397018 1.07840084432 2.22870169804 0.974685351751 0.95262889031 
-61.9651243336 -3.85086572691 889218.695428 111059.353859 -8.01346497612 38982.5285407 3.40399650538 1.06613637314 2.30212477358 0.985065530903 1.00036811625 
-62.2985292071 -4.31772162327 889045.089988 111095.548401 -52.667852718 41966.7342804 5.66396042417 1.04715609709 2.37229124978 0.878088943905 1.05560699678 
-61.1637796936 -2.71419055121 888899.003211 111100.856438 17.0060006998 41322.2077643 2.5457399014 1.01244135134 2.47127509584 1.15053045045 1.13370764885 
-60.7750509453 -2.68350472221 888675.807355 111129.221687 -31.2369833108 41538.3975799 6.03870990363 1.04677044659 2.38607963922 0.962170134426 2.64698587491 
-67.2525077771 -9.11419142823 889347.313722 111061.668601 -53.6958329617 45582.86666 5.59481564389 1.00667680165 2.54047489942 0.977499843199 1.17058019135 
-60.6694111237 -2.56627189246 888821.55983 111115.39326 8.09422178086 37185.4518843 1.70702236982 1.07566819008 2.22268407064 0.981087231414 0.952520573461 
-64.4169863104 -6.37717817863 888780.084878 111123.807941 -46.8846631457 42133.6417917 1.46513855527 1.05274974641 2.41446967877 0.927196828996 2.65083273045 
-69.7386390952 -11.6331362133 889487.909236 111046.612863 -90.4993204936 48683.5149352 5.46607360332 1.00225762819 2.7403027983 0.952821110886 1.31724887685 
