#ess=2054.9301421 nsamp=10274
#post like m1 m2 tRef dist phase inc lambda beta pol 
-61.6124480372 -3.28093048636 888876.678649 111114.831323 18.0235544767 39697.317397 1.04729442536 1.03732358921 2.34942079729 1.10146158652 2.60270478884 
-61.8907019235 -3.68668113746 888483.033103 111148.761431 -47.4444986114 45764.5856615 1.44603447256 1.01173572005 2.60725469477 1.02185923248 2.79382506173 
-62.4350503805 -3.98160246745 888785.564586 111119.628424 11.8907355834 42133.5655879 3.65274744644 1.00270796175 2.5086954729 1.14948830197 2.72657243695 
-64.7927938318 -6.73586819157 889257.892573 111063.205589 -44.3932144805 41739.190749 0.147422913097 1.05408885921 2.41878866317 0.940430699095 1.09482269201 
-64.462790164 -6.92241127865 889441.330247 111018.31247 644.06936697 42107.2833163 3.49834024717 2.10350542971 0.347747995077 0.0770443955531 3.01136473262 
-62.7112601017 -4.24655078999 888308.623392 111174.6613 -4.08866738586 44303.7195569 0.640964613943 0.991026808566 2.6669726644 1.15116539023 1.27504706982 
-60.0772835064 -1.94360921094 888843.599253 111123.344326 6.60098917162 37941.6062135 6.28001599149 1.06915263472 2.25054148953 0.998739040145 2.53185447754 
-62.2236354881 -3.95186852805 888802.268796 111131.471828 -15.6819341516 42735.3295678 5.88845809036 1.02623686097 2.49220439374 1.06629855353 1.15012773075 
-61.3162390004 -3.06121716772 888484.749765 111157.802262 28.2974233113 37166.3670816 1.95979789983 1.06191175991 2.23691022811 1.0685695195 2.52691506218 
-61.7421229682 -3.45738430534 889107.597943 111087.015343 17.2552990407 38492.7118696 2.57606454628 1.05490496131 2.31759592157 1.08245783148 1.03393384736 
-66.5736440036 -8.69698017563 889032.297238 111084.035308 -102.197226732 45677.427954 2.79926622714 1.03561278374 2.46882616095 0.776405174623 2.71046547057 
-60.7368690047 -2.57020437128 888450.021373 111165.672462 18.9725368268 37135.3134138 5.82431779595 1.07210724686 2.21994165829 1.02052677443 0.945984089712 
-62.7401171696 -4.15703358398 888511.18604 111165.038059 55.5794951363 38016.090505 6.03551630378 1.02704876655 2.32783785711 1.20908508528 1.04492553895 
-64.7579523994 -6.67701645421 888817.039243 111110.263375 -33.372232057 41512.9190653 2.6820391024 1.05194890546 2.3873277152 0.956827089729 2.61998410919 
-60.758599299 -2.3511741606 888990.819698 111093.905849 44.8474720054 36928.562267 1.91329002737 1.05600510991 2.25994131348 1.14317960852 0.982194363341 
-63.305858489 -5.15481837094 888454.601219 111164.464924 -4.09721436106 39633.0930887 5.33202309528 1.04879675736 2.30887078818 1.00258475363 2.58648757983 
-62.0579855908 -3.7776154967 889123.9868 111079.450951 7.31980155962 40217.7994668 4.81554147221 1.0402574789 2.3653753708 1.07561860659 1.06307053217 
-62.0117447477 -3.67272096779 888877.404421 111117.407291 -7.59082690994 43185.0296499 3.47684128508 1.00839396556 2.51007303924 1.09626866564 1.16690358676 
-59.5955670562 -1.53794345878 888960.242386 111102.360484 -34.1597016671 41203.4887995 2.61910951908 1.05121552125 2.36767497802 0.939731270166 2.62195366611 
-65.4205879424 -6.67212896793 889046.660561 111101.237524 56.7616103366 40126.9176557 4.57921301732 0.987948725687 2.47065518852 1.25828969829 2.72796607597 
-63.4174612775 -4.72079456469 888709.643601 111128.867028 83.8844870712 35886.2165252 0.755704063838 1.03351347299 2.20334317198 1.2507353845 2.53120541591 
-61.3398129222 -3.26651976797 888871.744694 111113.128728 -19.4035740215 40099.719162 5.51252733689 1.05141455991 2.31157210918 0.951129070178 1.00702222071 
-65.1741919785 -6.66433489087 888898.156185 111126.666287 19.7702638497 41790.5235365 4.37885574412 1.00816956701 2.52559371634 1.17530630846 2.75572029976 
-59.5937840894 -1.32876888933 888996.960571 111104.472444 8.92328456012 39809.5905733 1.80644970823 1.04144586 2.3406590533 1.06758109902 1.03580881306 
-63.8623198842 -5.5445142876 888652.946841 111143.984027 47.1970139846 35483.6048636 2.12527946902 1.07841245853 2.18755514276 1.10621230801 0.942696629229 
