#ess=3876.33018306 nsamp=19381
#post like m1 m2 tRef dist phase inc lambda beta pol 
-65.3976995246 -4.68114373111 1501188.33642 499590.33383 2.80163258204 37048.0026096 5.16567986384 1.04272929739 2.25726160824 -1.3824486841 1.65409086681 
-64.7136631938 -4.02547326981 1500785.69882 499711.891775 0.774125796679 36636.1377861 5.06361851428 1.0476387644 2.27114973097 -1.37752470166 1.63572690768 
-65.21959357 -4.53178992687 1499144.78637 500352.456074 0.67511508086 36416.5828296 5.06737932173 1.05295731007 2.27409786503 -1.3780085449 1.63916496665 
-69.7455451697 -9.07122861536 1500208.24537 499942.580331 -0.668103113162 36008.6750114 4.99963632544 1.05476565323 2.28239712117 -1.37558241184 1.62645205363 
-69.080362885 -8.40755534626 1499421.75587 499958.738469 -2.65860371655 36225.8734565 4.91843170759 1.04879207125 2.30289945645 -1.37470455582 1.60855757414 
-64.7434610716 -4.04711609019 1499426.46112 500081.072862 3.21933539485 37272.8038072 5.17634332046 1.03940660327 2.23993681642 -1.37821418074 1.67070198571 
-64.5079914486 -3.81133036246 1500158.82008 499991.229366 -0.883536241814 36617.8606575 5.00591680936 1.0469067704 2.2953957072 -1.37906599301 1.61976187425 
-62.0742798527 -1.38060113438 1499974.80547 500027.634218 2.25164079845 37076.5579404 5.13317607362 1.04199019263 2.25089161479 -1.37793885076 1.65764882845 
-68.4512901662 -7.77079691342 1499814.91033 499792.03762 0.909314363728 36669.6357194 5.06575162677 1.0478056766 2.26382584211 -1.3761272854 1.64215292042 
-65.376556079 -4.69743716472 1499080.65553 500214.18408 2.04982835654 36765.9833671 5.12095772733 1.04684317847 2.24669971088 -1.37567632905 1.66180375166 
-66.4332147568 -5.76302165381 1500193.96706 499760.052835 -1.91953061183 36062.0231467 4.94628938027 1.05379087439 2.29170529824 -1.37472978597 1.61338114959 
-66.0960063571 -5.39582419227 1500071.46481 500163.636986 0.679033384061 36585.4967583 5.06545448432 1.05023265532 2.28302393201 -1.38006276157 1.62676488829 
-65.1570454459 -4.46637921722 1500383.50988 500108.187881 2.21283159589 37204.5286826 5.13584330976 1.03927065128 2.24440380183 -1.37695202763 1.66654310018 
-62.9841644445 -2.32530448807 1499571.20889 500109.413416 -1.28307792637 36123.7066634 4.97091585203 1.05501060543 2.27844890804 -1.37254767022 1.62952459405 
