#ess=2041.45376986 nsamp=10207
#post like m1 m2 tRef dist phase inc lambda beta pol 
-63.213159032 -2.53406187946 1504783.95107 498367.13595 3.15607800417 37770.3278494 5.19505067065 1.03354067764 2.18155049793 -1.37410363921 1.72530920519 
-68.5064432946 -7.73958988678 1510751.69284 496335.085671 3.79214074829 39234.0079924 5.25311558933 1.01116381457 2.16920231549 -1.38833663828 1.7258560724 
-64.7536510958 -4.03971049467 1506053.18393 497960.243106 -0.404936692952 37251.9519267 5.05367638189 1.04619353775 2.22386234567 -1.38234006585 1.68106196907 
-64.973204872 -4.32029383946 1496240.8418 501258.543909 8.24807497306 36967.7100403 5.36693865365 1.0420643099 2.1841714426 -1.36982219866 1.72206476277 
-62.5795001988 -3.31655865446 1495850.95884 501685.879151 -322.929515858 35073.9485218 3.1422240635 2.0739969999 2.95243102799 -0.659367742382 2.48669195418 
-62.7015125282 -3.44728720982 1491175.72454 503360.003267 -325.80914425 36679.1096119 2.97419632355 2.08796332136 2.95981569834 -0.637281216195 2.46619184936 
-64.4040196994 -3.71133532967 1502622.09991 499094.157929 -0.100749850724 37295.9620678 5.02587788082 1.03592086653 2.26058908752 -1.3770658122 1.63819769878 
-64.0358140076 -3.40050136207 1500596.52851 499725.709998 0.776638814036 36624.6773486 5.05219450376 1.0536408635 2.23784653587 -1.3676159642 1.66706719215 
-63.7330702308 -4.4695910312 1491630.87995 503147.081585 -326.357220223 36892.0041984 2.9651582879 2.09937145097 2.97419163905 -0.641043464277 2.45181010712 
-66.0354815158 -6.77734668347 1493508.22107 502560.525589 -322.042139703 35702.4814791 3.1438981452 2.07469733199 2.96999460829 -0.652393288432 2.47951172723 
-63.6587054776 -3.00921094554 1497447.57137 500772.168715 0.487654353793 36413.3601904 5.03303822852 1.03870196251 2.26732440536 -1.36875507643 1.64244021973 
-65.1603623706 -4.44324142754 1503731.19573 498985.858768 1.88064331873 37532.9254285 5.12503039194 1.03817566832 2.24860959705 -1.38195496071 1.65050356248 
-65.3097782232 -6.05127546712 1493321.61957 502599.787637 -326.200500868 36454.0605971 2.99293131308 2.08436242547 2.96729640972 -0.645836338163 2.46121820742 
-66.7237148798 -6.09675251602 1501047.62657 499695.020009 -6.57720815503 36363.6241408 4.74783154284 1.03819021732 2.25573472673 -1.36396978766 1.63802637217 
-66.2084766583 -5.57657898406 1496181.33589 501049.482415 -0.845909032849 35732.1566298 4.97888552896 1.06149632171 2.30550142582 -1.36788640282 1.62475300752 
-65.6935376003 -5.10947331782 1492031.46525 502722.589504 -3.69958404252 34588.424339 4.80698872434 1.07528624861 2.33470419177 -1.35930814477 1.56527032912 
